category,category0
Medical,Medical1
Medical,Medical2
Medical,Medical3
Medical,Medical4
Medical,Medical5
Medical,Medical6
Medical,Medical7
Medical,Medical8
Medical,Medical9
Medical,Medical10
Medical,Medical11
Medical,Medical12
Medical,Medical13
Medical,Medical14
Medical,Medical15
Medical,Medical16
Medical,Medical17
Medical,Medical18
Medical,Medical19
Medical,Medical20
Medical,Medical21
Medical,Medical22
Medical,Medical23
Medical,Medical24
Medical,Medical25
Medical,Medical26
Medical,Medical27
Medical,Medical28
Medical,Medical29
Medical,Medical30
Medical,Medical31
Medical,Medical32
Medical,Medical33
Medical,Medical34
Medical,Medical35
Medical,Medical36
Medical,Medical37
Medical,Medical38
Medical,Medical39
Medical,Medical40
Medical,Medical41
Medical,Medical42
Medical,Medical43
Medical,Medical44
Medical,Medical45
Medical,Medical46
Medical,Medical47
Medical,Medical48
Medical,Medical49
Medical,Medical50
Medical,Medical51
Medical,Medical52
Medical,Medical53
Medical,Medical54
Medical,Medical55
Medical,Medical56
Medical,Medical57
Medical,Medical58
Medical,Medical59
Medical,Medical60
Medical,Medical61
Medical,Medical62
Medical,Medical63
Medical,Medical64
Medical,Medical65
Medical,Medical66
Medical,Medical67
Medical,Medical68
Medical,Medical69
Medical,Medical70
Medical,Medical71
Medical,Medical72
Medical,Medical73
Medical,Medical74
Medical,Medical75
Medical,Medical76
Medical,Medical77
Medical,Medical78
Medical,Medical79
Medical,Medical80
Medical,Medical81
Medical,Medical82
Medical,Medical83
Medical,Medical84
Medical,Medical85
Medical,Medical86
Medical,Medical87
Medical,Medical88
Medical,Medical89
Medical,Medical90
Medical,Medical91
Medical,Medical92
Medical,Medical93
Medical,Medical94
Medical,Medical95
Medical,Medical96
Medical,Medical97
Medical,Medical98
Medical,Medical99
Medical,Medical100
Medical,Medical101
Medical,Medical102
Medical,Medical103
Medical,Medical104
Medical,Medical105
Medical,Medical106
Medical,Medical107
Medical,Medical108
Medical,Medical109
Medical,Medical110
Medical,Medical111
Medical,Medical112
Medical,Medical113
Medical,Medical114
Medical,Medical115
Medical,Medical116
Medical,Medical117
Medical,Medical118
Medical,Medical119
Medical,Medical120
Medical,Medical121
Medical,Medical122
Medical,Medical123
Medical,Medical124
Medical,Medical125
Medical,Medical126
Medical,Medical127
Medical,Medical128
Medical,Medical129
Medical,Medical130
Medical,Medical131
Medical,Medical132
Medical,Medical133
Medical,Medical134
Medical,Medical135
Medical,Medical136
Medical,Medical137
Medical,Medical138
Medical,Medical139
Medical,Medical140
Medical,Medical141
Medical,Medical142
Medical,Medical143
Medical,Medical144
Medical,Medical145
Medical,Medical146
Medical,Medical147
Medical,Medical148
Medical,Medical149
Medical,Medical150
Medical,Medical151
Medical,Medical152
Medical,Medical153
Medical,Medical154
Medical,Medical155
Medical,Medical156
Medical,Medical157
Medical,Medical158
Medical,Medical159
Medical,Medical160
Medical,Medical161
Medical,Medical162
Medical,Medical163
Medical,Medical164
Medical,Medical165
Medical,Medical166
Medical,Medical167
Medical,Medical168
Medical,Medical169
Medical,Medical170
Medical,Medical171
Medical,Medical172
Medical,Medical173
Medical,Medical174
Medical,Medical175
Medical,Medical176
Medical,Medical177
Medical,Medical178
Medical,Medical179
Medical,Medical180
Medical,Medical181
Medical,Medical182
Medical,Medical183
Medical,Medical184
Medical,Medical185
Medical,Medical186
Medical,Medical187
Medical,Medical188
Medical,Medical189
Medical,Medical190
Medical,Medical191
Medical,Medical192
Medical,Medical193
Medical,Medical194
Medical,Medical195
Medical,Medical196
Medical,Medical197
Medical,Medical198
Medical,Medical199
Medical,Medical200
Medical,Medical201
Medical,Medical202
Medical,Medical203
Medical,Medical204
Medical,Medical205
Medical,Medical206
Medical,Medical207
Medical,Medical208
Medical,Medical209
Medical,Medical210
Medical,Medical211
Medical,Medical212
Medical,Medical213
Medical,Medical214
Medical,Medical215
Medical,Medical216
Medical,Medical217
Medical,Medical218
Medical,Medical219
Medical,Medical220
Medical,Medical221
Medical,Medical222
Medical,Medical223
Medical,Medical224
Medical,Medical225
Medical,Medical226
Medical,Medical227
Medical,Medical228
Medical,Medical229
Medical,Medical230
Medical,Medical231
Medical,Medical232
Medical,Medical233
Medical,Medical234
Medical,Medical235
Medical,Medical236
Medical,Medical237
Medical,Medical238
Medical,Medical239
Medical,Medical240
Medical,Medical241
Medical,Medical242
Medical,Medical243
Medical,Medical244
Medical,Medical245
Medical,Medical246
Medical,Medical247
Medical,Medical248
Medical,Medical249
Medical,Medical250
Medical,Medical251
Medical,Medical252
Medical,Medical253
Medical,Medical254
Medical,Medical255
Medical,Medical256
Medical,Medical257
Medical,Medical258
Medical,Medical259
Medical,Medical260
Medical,Medical261
Medical,Medical262
Medical,Medical263
Medical,Medical264
Medical,Medical265
Medical,Medical266
Medical,Medical267
Medical,Medical268
Medical,Medical269
Medical,Medical270
Medical,Medical271
Medical,Medical272
Medical,Medical273
Medical,Medical274
Medical,Medical275
Medical,Medical276
Medical,Medical277
Medical,Medical278
Medical,Medical279
Medical,Medical280
Medical,Medical281
Medical,Medical282
Medical,Medical283
Medical,Medical284
Medical,Medical285
Medical,Medical286
Medical,Medical287
Medical,Medical288
Medical,Medical289
Medical,Medical290
Medical,Medical291
Medical,Medical292
Medical,Medical293
Medical,Medical294
Medical,Medical295
Medical,Medical296
Medical,Medical297
Medical,Medical298
Medical,Medical299
Medical,Medical300
Medical,Medical301
Medical,Medical302
Medical,Medical303
Medical,Medical304
Medical,Medical305
Medical,Medical306
Medical,Medical307
Medical,Medical308
Medical,Medical309
Medical,Medical310
Medical,Medical311
Medical,Medical312
Medical,Medical313
Medical,Medical314
Medical,Medical315
Medical,Medical316
Medical,Medical317
Medical,Medical318
Medical,Medical319
Medical,Medical320
Medical,Medical321
Medical,Medical322
Medical,Medical323
Medical,Medical324
Medical,Medical325
Medical,Medical326
Medical,Medical327
Medical,Medical328
Medical,Medical329
Medical,Medical330
Medical,Medical331
Medical,Medical332
Medical,Medical333
Medical,Medical334
Medical,Medical335
Medical,Medical336
Medical,Medical337
Medical,Medical338
Medical,Medical339
Medical,Medical340
Medical,Medical341
Medical,Medical342
Medical,Medical343
Medical,Medical344
Medical,Medical345
Medical,Medical346
Medical,Medical347
Medical,Medical348
Medical,Medical349
Medical,Medical350
Medical,Medical351
Medical,Medical352
Medical,Medical353
Medical,Medical354
Medical,Medical355
Medical,Medical356
Medical,Medical357
Medical,Medical358
Medical,Medical359
Medical,Medical360
Medical,Medical361
Medical,Medical362
Medical,Medical363
Medical,Medical364
Medical,Medical365
Medical,Medical366
Medical,Medical367
Medical,Medical368
Medical,Medical369
Medical,Medical370
Medical,Medical371
Medical,Medical372
Medical,Medical373
Medical,Medical374
Medical,Medical375
Medical,Medical376
Medical,Medical377
Medical,Medical378
Medical,Medical379
Medical,Medical380
Medical,Medical381
Medical,Medical382
Medical,Medical383
Medical,Medical384
Medical,Medical385
Medical,Medical386
Medical,Medical387
Medical,Medical388
Medical,Medical389
Medical,Medical390
Medical,Medical391
Medical,Medical392
Medical,Medical393
Medical,Medical394
Medical,Medical395
Medical,Medical396
Medical,Medical397
Medical,Medical398
Medical,Medical399
Medical,Medical400
Medical,Medical401
Medical,Medical402
Medical,Medical403
Medical,Medical404
Medical,Medical405
Medical,Medical406
Medical,Medical407
Medical,Medical408
Medical,Medical409
Medical,Medical410
Medical,Medical411
Medical,Medical412
Medical,Medical413
Medical,Medical414
Medical,Medical415
Medical,Medical416
Medical,Medical417
Medical,Medical418
Medical,Medical419
Medical,Medical420
Medical,Medical421
Medical,Medical422
Medical,Medical423
Medical,Medical424
Medical,Medical425
Medical,Medical426
Medical,Medical427
Medical,Medical428
Medical,Medical429
Medical,Medical430
Medical,Medical431
Medical,Medical432
Medical,Medical433
Medical,Medical434
Medical,Medical435
Medical,Medical436
Medical,Medical437
Medical,Medical438
Medical,Medical439
Medical,Medical440
Medical,Medical441
Medical,Medical442
Medical,Medical443
Medical,Medical444
Medical,Medical445
Medical,Medical446
Medical,Medical447
Medical,Medical448
Medical,Medical449
Medical,Medical450
Medical,Medical451
Medical,Medical452
Medical,Medical453
Medical,Medical454
Medical,Medical455
Medical,Medical456
Medical,Medical457
Medical,Medical458
Medical,Medical459
Medical,Medical460
Medical,Medical461
Medical,Medical462
Medical,Medical463
Medical,Medical464
Medical,Medical465
Medical,Medical466
