,name,author,book_depository_stars,isbn,category
0,This is Going to Hurt,Adam Kay,4.5,9781509858637,Medical
1,"Thinking, Fast and Slow",Daniel Kahneman,4.0,9780141033570,Medical
2,When Breath Becomes Air,Paul Kalanithi,4.5,9781784701994,Medical
3,The Happiness Trap,Russ Harris,4.0,9781845298258,Medical
4,Man's Search For Meaning,Viktor E. Frankl,4.5,9781846041242,Medical
5,The Man Who Mistook His Wife for a Hat,Oliver Sacks,4.0,9780330523622,Medical
6,The 8-week Blood Sugar Diet,Michael Mosley,4.0,9781780722405,Medical
7,The Clever Guts Diet,Michael Mosley,4.0,9781780723044,Medical
8,12 Rules for Life,Jordan B. Peterson,4.0,9780241351642,Medical
9,Being Mortal,Atul Gawande,4.5,9781846685828,Medical
10,Gut,Giulia Enders,4.0,9781925228601,Medical
11,The Brain That Changes Itself,Norman Doidge,4.0,9780141038872,Medical
12,Medical Medium Liver Rescue,Anthony William,4.0,9781401954406,Medical
13,Wreck This Journal,Keri Smith,4.0,9780141976143,Medical
14,12 Rules for Life,Jordan B. Peterson,4.0,9780241351635,Medical
15,12 Rules for Life,Jordan B. Peterson,4.0,9780141988511,Medical
16,Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,4.0,9780954852023,Medical
17,Medical Medium Thyroid Healing,Anthony William,4.0,9781401948368,Medical
18,Steal Like an Artist,Austin Kleon,4.0,9780761169253,Medical
19,Sitting Still Like A Frog,Eline Snel,4.0,9781611800586,Medical
20,How Not To Die,Michael Greger,4.5,9781509852505,Medical
21,The Whole-Brain Child,Tina Payne Bryson,4.0,9781780338378,Medical
22,Birth Skills,Juju Sundin,4.0,9780091922146,Medical
23,Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,4.0,9780890425558,Medical
24,Medical Medium Celery Juice,Anthony William,4.0,9781401957650,Medical
25,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,4.0,9780241250990,Medical
26,Publication Manual of the American Psychological Association,American Psychological Association,3.5,9781433805615,Medical
27,Proof of Heaven,Dr. Eben Alexander,3.5,9781451695199,Medical
28,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.0,9780330533447,Medical
29,The Complete Guide to Asperger's Syndrome,Tony Attwood,4.0,9781843106692,Medical
30,The Checklist Manifesto,Atul Gawande,4.0,9781846683145,Medical
31,Do No Harm,Henry Marsh,4.0,9781780225920,Medical
32,The Anatomy Coloring Book,Wynn Kapit,4.0,9780321832016,Medical
33,The Plant Paradox,Steven R. Gundry,3.5,9780062427137,Medical
34,Wreck This Journal Everywhere,Keri Smith,4.0,9781846148583,Medical
35,How to Change Your Mind,Michael Pollan,4.5,9780141985138,Medical
36,Raising an Emotionally Intelligent Child,John Gottman,4.0,9780684838656,Medical
37,Allen Carr's Easy Way to Stop Smoking,Allen Carr,4.5,9781405923316,Medical
38,The Mindful Way through Depression,J. Mark G. Williams,4.0,9781593851286,Medical
39,Call The Midwife,Jennifer Worth,4.0,9780753823835,Medical
40,The Dialectical Behavior Therapy Skills Workbook,Matthew McKay,4.0,9781572245136,Medical
41,The Reality Slap,Russ Harris,4.0,9781780332024,Medical
42,"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,4.5,9780465094455,Medical
43,Strength Training Anatomy,Frederic Delavier,4.5,9780736092265,Medical
44,The Brain That Changes Itself,Norman Doidge,4.0,9780143113102,Medical
45,Lost Ocean,Johanna Basford,4.5,9780753557150,Medical
46,Mating in Captivity,Esther Perel,4.0,9780060753641,Medical
47,This is Going to Hurt,Adam Kay,4.5,9781509858613,Medical
48,You Are the Placebo,Joe Dispenza,4.5,9781781802571,Medical
49,Radical Acceptance,Tara Brach,4.0,9780553380996,Medical
50,Awakenings,Oliver Sacks,4.0,9780330523677,Medical
